,film_id,title,cast,my_title,my_rating,budget,id,imdb_id,original_language,overview,poster_path,revenue,runtime,votes,imdb_rating,year,genre
689,689,Ex Machina,"OSCAR ISAAC,ALICIA VIKANDER",EX MACHINA,7.5,15000000,264660,tt0470752,en,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",/btbRB7BrD887j5NrvjxceRDmaot.jpg,36869414,108,371785,7.7,2014,SCI-FI
690,690,Spy,"MELISSA MCCARTHY, JASON STATHAM, ROSE BYRNE, JUDE LAW",SPY,7.5,65000000,238713,tt3079380,en,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",/xaOq0BnMHl445iZ4B7szBzaWgjS.jpg,235666219,120,198853,7,2015,ACTION
691,691,Get Hard,"WILL FERELL, KEVIN HART",GET HARD,5,40000000,257091,tt2561572,en,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",/qRzUSrN4p6B7fzA5XGm4ebFg3co.jpg,111811453,100,101576,6,2015,COMEDY
692,692,Ant-Man,"PAUL RUDD, MICHAEL DOUGLAS, MICHAEL PENA, EVANGELINE LILY",ANT-MAN,6.5,130000000,102899,tt0478970,en,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",/D6e8RJf2qUstnfkTslTXNTUAlT.jpg,519311965,117,407415,7.3,2015,COMICBOOK
693,693,Hot Fuzz,"SIMON PEGG,NICK FROST",HOT FUZZ,8,12000000,4638,tt0425112,en,"Top London cop, PC Nicholas Angel is good. Too good.  To stop the rest of his team from looking bad, he is reassigned to the quiet town of Sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. It is addressed as an accident, but Angel isn't going to accept that, especially when more and more people turn up dead.",/5Jx6s6VXnunh8wCLgR0YgjwSgjh.jpg,80573774,121,393797,7.9,2007,COMEDY
694,694,Trainwreck,"AMY SCHUMER,BILL HADER, TILDA SWINTON",TRAINWRECK,7,35000000,271718,tt3152624,en,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",/2USk7mhiCXRkU9NzttXCzOjg2iV.jpg,140795793,125,113155,6.2,2015,COMEDY
695,695,Mission: Impossible III,"TOM CRUISE,SIMON PEGG, LAWRENCE FISHBOURNE",MISSION IMPOSSIBLE III,6.5,150000000,956,tt0317919,en,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",/qjy8ABAbWooV4jLG6UjzDHlv4RB.jpg,397850012,126,280330,6.9,2006,ACTION
696,696,Mission: Impossible - Ghost Protocol,"TOM CRUISE, JEREMY RENNER, SIMON PEGG",MISSION IMPOSSIBLE IV: GHOST PROTOCOL,7,145000000,56292,tt1229238,en,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",/s58mMsgIVOFfoXPtwPWJ3hDYpXf.jpg,694713380,133,394510,7.4,2011,ACTION
697,697,Back to the Future,"MICHAEL J. FOX, CHRISTOPHER LLOYD",BACK TO THE FUTURE,7.5,19000000,105,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg,381109762,116,841138,8.5,1985,SCI-FI
698,698,Shaun the Sheep Movie,,SHAUN THE SHEEP,8,0,263109,tt2872750,en,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",/aOHsNN1p2nuiF9WaMaCNXy0T80J.jpg,59700000,85,29357,7.4,2015,ANIMATION
699,699,The Martian,"MATT DAMON,JEFF DANIELS, CHEWETEL EJOFOR,JESSICA CHASTAIN",THE MARTIAN,7.5,108000000,286217,tt3659388,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg,630161890,141,602922,8,2015,SCI-FI
700,700,Murder on the Orient Express,"ALBERT FINNEY, LAUREN BACALL, INGRID BERGMAN, SEAN CONNERY",MURDER ON THE ORIENT EXPRESS,7.5,55000000,392044,tt3402236,en,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,/iBlfxlw8qwtUS0R8YjIU7JtM6LM.jpg,348322890,114,79439,6.7,2017,THRILLER
701,701,Me and Earl and the Dying Girl,,"ME, EARL AND THE DYING GIRL",8,0,308369,tt2582496,en,"Greg is coasting through senior year of high school as anonymously as possible, avoiding social interactions like the plague while secretly making spirited, bizarre films with Earl, his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.",/4Zrvc5rddDSHD3JmfkzvAx82wuT.jpg,0,105,101257,7.8,2015,DRAMA
702,702,The Nightmare Before Christmas,DANNY ELFMAN,NIGHTMARE BEFORE CHRISTMAS,7.5,18000000,9479,tt0107688,en,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",/6oxkO1VgKCq74fNILKAg6t2dVEt.jpg,75634409,76,250133,8,1993,ANIMATION
703,703,Life of Brian,"JOHN CLEESE, TERRY JONES, TERRY GILLIAM",LIFE OF BRIAN,8,4000000,583,tt0079470,en,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",/cKpJnXJ6DzAGafAjUWB5PjT904O.jpg,20045115,94,303373,8.1,1979,COMEDY
704,704,Sicario,"EMILY BLUNT,BENECIO DEL TORO",SICARIO,7,30000000,273481,tt3397884,en,"A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit.",/p2SdfGmQRaw8xhFbexlHL7srMM8.jpg,84025816,121,274787,7.6,2015,DRAMA
705,705,Black Mass,JOHNNY DEPP,BLACK MASS,6,53000000,261023,tt1355683,en,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",/yIVnNriiyl522hk3LFLJrrMovhP.jpg,98837872,122,144945,6.9,2015,CRIME
706,706,Inside Out,"AMY POEHLER,LEWIS BLACK, BILL HADER",INSIDE OUT,7.5,175000000,150540,tt2096673,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg,857611174,94,461748,8.2,2015,ANIMATION
